t,u_center,u_bulk,tau_w,u_center_exact,u_bulk_exact,tau_w_exact,force
0.1989675347273536,0.6524588741909304,0.5449716733998652,-0.015429454677713783,0.6491762896759717,0.544639035015027,0.07140750905429524,-4.264760348781417
0.2042035224833366,0.6298606632855661,0.5229481150431842,-0.003535693148375485,0.6266323837490918,0.5224985647159487,0.08530188182757567,-4.3485027035980375
0.2094395102393196,0.6068167675658219,0.5005661541702955,0.008263321552108486,0.6036590152873763,0.4999999999999999,0.09913779295197556,-4.429264811874169
0.21467549799530258,0.5833435614069883,0.47784113025916525,0.019965676913120546,0.5802719290900232,0.4771587602596082,0.11290575998512947,-4.506991323294956
0.21991148575128558,0.5594576752250351,0.45478861790607056,0.03156899163104407,0.5564871534977018,0.45399049973954664,0.12659634705015807,-4.581628967991998
0.22514747350726858,0.5351759871057735,0.4314244161514394,0.043070474972385434,0.5323209894075263,0.43051109680829486,0.1402001713025472,-4.653126593051851
0.23038346126325157,0.5105156139602751,0.4077645376521267,0.05446697905785234,0.5077899991012378,0.4067366430758,0.15370790936068027,-4.721435197573685
0.23561944901923457,0.48549390225010153,0.38382519770698625,0.06575504511066607,0.4829109948942415,0.3826834323650894,0.1671103036956191,-4.786507966252055
0.24085543677521756,0.4601284183236941,0.35962280314383477,0.07693094454820154,0.45770102761328746,0.3583679495453,0.18039816897575062,-4.8483003014617605
0.24609142453120056,0.4344369383969862,0.3351739410749811,0.08799071564167818,0.4321773749106833,0.33380685923377046,0.193562398361956,-4.9067698538228495
0.2513274122871835,0.40843743821076833,0.31049536752921125,0.09893019635700043,0.40635752942305736,0.30901699437494706,0.20659396974898145,-4.9618765512247505
0.2565634000431665,0.3821480823923194,0.2856039959681368,0.10974505388979075,0.38025918678277626,0.2840153447039223,0.2194839519487401,-5.013582626289706
0.2617993877991495,0.35558721354689543,0.26051688569445525,0.12043081133007497,0.3539002334902442,0.2588190451025203,0.23222351081130113,-5.061852642256643
0.2670353755551325,0.32877334110233897,0.23525123016043936,0.1309828718234735,0.3272987346553893,0.23344536385590503,0.24480391527937517,-5.106653517267759
0.2722713633111155,0.30172512992776385,0.2098243451843286,0.1413965405426297,0.30047292161673794,0.20791169081775882,0.2572165433721453,-5.147954547041174
0.2775073510670985,0.2744613887464693,0.18425365708298236,0.1516670447353473,0.273441179446568,0.182235525492147,0.269452888094341,-5.185727425914115
0.2827433388230815,0.24700105836096595,0.15855669072875095,0.16178955207772405,0.24622203435069687,0.15643446504023026,0.2815045632665091,-5.219946266242198
0.2879793265790645,0.2193631997073314,0.1327510575387781,0.1717591875278118,0.21883414097154708,0.13052619222005107,0.29336330927248094,-5.250587616141534
0.2932153143350475,0.1915669817550231,0.10685444340503582,0.1815710488483264,0.19129626960318433,0.10452846326765279,0.30502099872010174,-5.27763047556147
0.2984513020910305,0.16363166926728726,0.08088459657327295,0.1912202209434388,0.1636272933270977,0.07845909572784433,0.3164696420113386,-5.301056310676979
0.3036872898470135,0.13557661043659905,0.05485931547929914,0.20070178913497425,0.13584617507753013,0.05233595624294308,0.32770139281795224,-5.320849066590822
0.3089232776029965,0.10742122440891395,0.028796436550779795,0.21001085148655357,0.1079719546452325,0.026176948307872473,0.3387085534589782,-5.336995178336765
0.3141592653589795,0.07918498870992469,0.002713821983063656,0.21914253027052555,0.08002373562854026,-8.269460797427576e-16,0.34948358017633324,-5.349483580176333
0.3193952531149625,0.05088742658601676,-0.02337065250268324,0.2280919826589682,0.05202067234072326,-0.026176948307873905,0.3600190883049297,-5.358305713182716
0.32463124087094547,0.022548094272176217,-0.049439109910593526,0.23685441071111277,0.02398195668257424,-0.05233595624294473,0.3703078573337567,-5.363455531106625
0.32986722862692847,-0.005813431801310696,-0.0754736842221102,0.24542507071930506,-0.004073195010759312,-0.07845909572784576,0.3803428358544574,-5.364929504520097
0.33510321638291146,-0.03417756785182164,-0.10145653264045752,0.253799281968587,-0.03212555513969337,-0.10452846326765444,0.39011714639401196,-5.362726623235378
0.34033920413889446,-0.06252473562581297,-0.1273698478191969,0.26197243495788,-0.06015589801784173,-0.1305261922200525,0.39962409012821426,-5.356848396997266
0.34557519189487745,-0.09083537530782206,-0.15319587006650798,0.2699399991252294,-0.088145013048343,-0.1564344650402319,0.4088571514727115,-5.3472988544483995
